Category,English,EnURL,French,FrURL,Italian,ItURL,圖檔URL,中文,中文說明,version
Plant-based 植物性,Asparagus,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/asparagus_en.mp3,Asperge,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/asparagus_fr.mp3,Asparago,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/asparagus_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/asparagus.jpg,蘆筍,蘆筍質地鮮嫩多汁，帶有微苦的味道，常見用途包括炒菜、涼拌或搭配肉類等料理中。,2025-07-15
Plant-based 植物性,White asparagus,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white asparagus_en.mp3,Asperge blanche,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white asparagus_fr.mp3,Asparago bianco,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white asparagus_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/white asparagus.jpg,白蘆筍,白蘆筍擁有脆嫩的口感，帶有清爽、甜美的風味，常用於烹調各式料理，為菜餚增添獨特的香氣和口感。,
Plant-based 植物性,Leek,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/leek_en.mp3,Poireau,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/leek_fr.mp3,Porro,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/leek_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/leek.jpg,韭蔥,韭蔥口感爽脆，帶有獨特香氣，常用於烹飪中增添風味，也可作為炒菜、餃子等料理的調味材料。,
Plant-based 植物性,Shallot,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/shallot_en.mp3,Échalote,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/shallot_fr.mp3,Scalogno,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/shallot_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/shallot.jpg,青蔥 / 紅蔥頭,青蔥具有清爽的口感，帶有微辣的風味，常用於炒菜、湯品中增添香氣，也可作為裝飾料使用。,
Plant-based 植物性,Artichoke,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/artichoke_en.mp3,Artichaut,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/artichoke_fr.mp3,Carciofo,Artichoke_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/artichoke.jpg,朝鮮薊,朝鮮薊的口感爽脆，帶有微苦的風味，常用於涼拌或煮熟後搭配調味料製成涼拌菜。,
Plant-based 植物性,Button mushroom,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/button mushroom_en.mp3,Champignon de Paris,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/button mushroom_fr.mp3,Champignon,Button mushroom_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/button mushroom.jpg,白蘑菇,白蘑菇質地鮮嫩，口感細膩，帶有淡淡的甜味，通常用於炒菜、湯品或沙拉中，增添香氣與口感。,
Plant-based 植物性,Porcini mushroom,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/porcini mushroom_en.mp3,Cèpe / Bolet,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/porcini mushroom_fr.mp3,Porcino,Porcini mushroom_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/porcini mushroom.jpg,牛肝菌,牛肝菌肉質鮮嫩，口感濃郁，帶有淡淡的果味，常用於燉湯、炒菜或烤肉料理中，是廣受喜愛的食材之一。,
Plant-based 植物性,Morel mushroom,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/morel mushroom_en.mp3,Morille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/morel mushroom_fr.mp3,Spugnola,Morel mushroom_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/morel mushroom.jpg,羊肚菌,羊肚菌肉質鮮嫩多汁，口感Q彈，風味濃郁香甜，適合燉湯、炒菜或燴飯等烹調方式。,
Plant-based 植物性,Black truffle,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/black truffle_en.mp3,Truffe noire,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/black truffle_fr.mp3,Tartufo nero,Black truffle_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/black truffle.jpg,黑松露,黑松露口感豐富濃郁，散發出獨特的香氣，常用於高級料理中，增添料理的層次感和風味，是廚師們極愛的珍貴食材之一。,
Plant-based 植物性,White truffle,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white truffle_en.mp3,Truffe blanche,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white truffle_fr.mp3,Tartufo bianco,White truffle_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/white truffle.jpg,白松露,白松露口感濕潤爽脆，風味濃郁香氣四溢，常見用途為搭配鮮奶油或意大利麵製作精緻料理。,
Plant-based 植物性,Spinach,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/spinach_en.mp3,Épinards,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/spinach_fr.mp3,Spinaci,Spinach_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/spinach.jpg,菠菜,菠菜口感軟嫩多汁，帶有微苦味，富含營養。常見用途包括炒菜、湯品、沙拉等，是健康飲食的重要選擇之一。,
Plant-based 植物性,Zucchini,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/zucchini_en.mp3,Courgette,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/zucchini_fr.mp3,Zucchina,Zucchini_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/zucchini.jpg,節瓜,節瓜口感清脆爽口，風味淡雅清甜，常見用途可製作炒菜、湯品或涼拌。,
Plant-based 植物性,Tomato,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tomato_en.mp3,Tomate,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tomato_fr.mp3,Pomodoro,Tomato_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/tomato.jpg,番茄,番茄口感多汁爽脆，風味酸甜爽口，常見用途包括製作醬料、湯品和沙拉，是廚房中常見的食材之一。,
Plant-based 植物性,Olive,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/olive_en.mp3,Olive,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/olive_fr.mp3,Oliva,Olive_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/olive.jpg,橄欖,橄欖口感濕潤多汁，風味濃郁鹹香，常見用途包括製作沙拉、開胃菜、調味料或配料。,
Plant-based 植物性,Basil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/basil_en.mp3,Basilic,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/basil_fr.mp3,Basilico,Basil_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/basil.jpg,羅勒,羅勒口感清新爽脆，風味濃烈芳香，常見用途為製作義式醬料或凉拌沙拉，搭配魚肉或素菜更為美味。,
